url,length,type,podcast
https://forschergeist.de/podlove/file/852/s/feed/c/mp3/fg042-neues-lehren-und-lernen-an-der-fachhochschule.mp3,61724024,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/825/s/feed/c/mp3/fg041-klassische-archaeologie.mp3,89615758,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/807/s/feed/c/mp3/fg040-stadt-und-gesundheit.mp3,72041246,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/784/s/feed/c/mp3/fg039-das-anthropozaen.mp3,79458799,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/766/s/feed/c/mp3/fg038-politische-zaesuren-und-das-recht.mp3,70997629,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/743/s/feed/c/mp3/fg037-freies-wissen-und-open-data.mp3,96868533,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/726/s/feed/c/mp3/fg036-internationalisierung-der-forschung.mp3,89383998,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/703/s/feed/c/mp3/fg035-science-slams-und-wissenschaftskommunikation.mp3,82301781,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/662/s/feed/c/mp3/fg034-werner-heisenberg.mp3,87294955,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/642/s/feed/c/mp3/fg033-cusanus-hochschule.mp3,84042587,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/626/s/feed/c/mp3/fg032-hochschule-und-zivilgesellschaft.mp3,81933506,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/584/s/feed/c/mp3/fg031-abenteuer-mathematik.mp3,100166541,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/553/s/feed/c/mp3/fg030-konflikt-und-gewaltforschung.mp3,96819560,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/496/s/feed/c/mp3/fg029-meeresforschung-und-tiefsee.mp3,74489669,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/473/s/feed/c/mp3/fg028-moore-paludikultur-und-das-klima.mp3,85349596,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/452/s/feed/c/mp3/fg027-vertrauen-und-kontrolle-in-der-wissenschaft.mp3,74341428,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/432/s/feed/c/mp3/fg026-gottfried-wilhelm-leibniz.mp3,69689398,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/411/s/feed/c/mp3/fg025-transformative-wissenschaft.mp3,81953729,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/393/s/feed/c/mp3/fg024-nachhaltige-chemie-und-das-wasser.mp3,79555255,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/384/s/feed/c/mp3/fg023-welt-in-balance.mp3,72800995,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/360/s/feed/c/mp3/fg022-hochschullehre-digital.mp3,90026450,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/353/s/feed/c/mp3/fg021-spielen-und-lernen.mp3,86627029,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/341/s/feed/c/mp3/fg020-wissenschaftsfinanzierung.mp3,72379295,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/331/s/feed/c/mp3/fg019-cradle-to-cradle.mp3,74008531,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/317/s/feed/c/mp3/fg018-die-vermessung-der-welt.mp3,76950351,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/307/s/feed/c/mp3/fg017-forschen-und-lehren-in-cambridge.mp3,65106921,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/295/s/feed/c/mp3/fg016-open-science.mp3,94811514,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/273/s/feed/c/mp3/fg015-wissenschaftsmanagement.mp3,83730308,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/263/s/feed/c/mp3/fg014-wissenschaftsgeschichte-asiens.mp3,91415195,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/253/s/feed/c/mp3/fg013-horizont-2020.mp3,87048989,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/217/s/feed/c/mp3/fg012-energieforschung.mp3,69619294,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/203/s/feed/c/mp3/fg011-lehren-und-lernen-in-digitalen-zeiten.mp3,102704840,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/188/s/feed/c/mp3/fg010-wissenschaft-im-dialog.mp3,84406945,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/180/s/feed/c/mp3/fg009-wirtschaftspolitischer-journalismus.mp3,71309108,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/170/s/feed/c/mp3/fg008-wirtschaftskriminalitaet.mp3,65877624,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/149/s/feed/c/mp3/fg007-die-deutsche-sprache-und-die-wissenschaften.mp3,85566301,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/124/s/feed/c/mp3/fg006-die-bildung-und-das-web.mp3,99422510,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/77/s/feed/c/mp3/fg005-wissenschaftskommunikation.mp3,100286899,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/35/s/feed/c/mp3/fg004-talentfoerderung.mp3,71757687,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/28/s/feed/c/mp3/fg003-autonomer-verkehr.mp3,76664092,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/17/s/feed/c/mp3/fg002-citizen-science.mp3,72877661,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/10/s/feed/c/mp3/fg001-geschichte-der-wissenschaften.mp3,109111622,audio/mpeg,forschergeist
https://forschergeist.de/podlove/file/1/s/feed/c/mp3/fg000-forschergeist.mp3,11767518,audio/mpeg,forschergeist
http://raumzeit-podcast.de/podlove/file/3131/s/feed/c/mp3/rz098-geschichte-der-europaeischen-raumfahrt.mp3,61893282,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/3118/s/feed/c/mp3/rz097-wettersatelliten.mp3,61606079,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/3111/s/feed/c/mp3/rz096-erdaehnliche-exoplaneten.mp3,59598804,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/3108/s/feed/c/mp3/zwischenruf-2021.mp3,3275070,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/3097/s/feed/c/mp3/rz095-juice.mp3,40705246,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/3092/s/feed/c/mp3/rz094-weltraumbeobachtung-und-die-wissenschaft.mp3,53082968,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/2990/s/feed/c/mp3/rz093-das-james-webb-weltraumteleskop.mp3,73079184,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/2987/s/feed/c/mp3/rz092-weltraumschrott-bekaempfung.mp3,53722788,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/2976/s/feed/c/mp3/rz091-philosophie-und-das-universum.mp3,71810921,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/2972/s/feed/c/mp3/rz090-weltraumstaub.mp3,78911262,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/2966/s/feed/c/mp3/rz089-kerbal-space-program.mp3,58164503,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/2958/s/feed/c/mp3/rz088-geo600.mp3,95440526,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/2954/s/feed/c/mp3/rz087-amateurastronomie.mp3,60536219,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/2947/s/feed/c/mp3/rz086-meteoriten.mp3,66516904,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/2940/s/feed/c/mp3/rz085-erforschung-der-sonne.mp3,69627559,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/2922/s/feed/c/mp3/rz084-besuch-beim-asteroiden.mp3,74461169,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/2876/s/feed/c/mp3/rz083-spacex.mp3,98510411,audio/mpeg,raumzeit
